"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1669173157377490944","Thu Jun 15 02:41:07 +0000 2023","0","OPEN JASWAR - Charlie Puth in Jakarta Pakai data sendiri Fee 150/tix Bookslot 50k untuk menghindari HNR Full refund apabila tidak dapat Testimonials : The Link The Dream Show Treasure Kim Seonho Red Velvet Coldplay aespa More info silahkan PC yaaa","1669173157377490944","","","in","","1","0","0","https://x.com/konseranyuk/status/1669173157377490944","1441929729695641601","konseranyuk"
"1661292957432152069","Wed May 24 08:48:01 +0000 2023","0","pliss bgt ini remindernya di dengerin jan sampe pengalaman paitku di konser the link kmrn ke ulang lagi #SUGA_AgustD_TOUR_in_Jakarta #AgustD_SUGA_jakarta #SUGA_AgustD_TOUR","1661292957432152069","","","in","","0","0","0","https://x.com/page_kylahs/status/1661292957432152069","1620658775169581056","page_kylahs"
"1653180868675137536","Mon May 01 23:34:09 +0000 2023","0","Pengalaman : konser seventeen be the sun txt ack lovesick nct the link blackpink bornpink. Yang berminat atau mau nanya2 dulu kindly DM me #TXTINJAKARTA #TXT_ASM_TOUR_in_JAKARTA","1653181040977149953","","uniqueown1","in","","0","1","0","https://x.com/uniqueown1/status/1653181040977149953","1428210623297458191","uniqueown1"
"1646921256183160857","Fri Apr 14 17:00:00 +0000 2023","0"," TRIP KONSER BOGOR Buat yang nanya WayV kendaraannya pake apa kita pake BigBus yang sama kayak pas TDS + The Link! Full AC full musik ada port charger aduuu tunggu apa lagi? #WayV_Phantom #wayv_phantom_in_jakarta #wayvinjkt #wayvinjakarta #Wayv_Phantom_in_JKT","1646921256183160857","","","in","Bogor, Indonesia","0","0","0","https://x.com/teamconcertmate/status/1646921256183160857","1611907876758618112","teamconcertmate"
"1740415350649635013","Thu Dec 28 17:17:44 +0000 2023","0","Ada orang yang mau bawa bendera di konser The Unity in Jakarta nanti please cukup The Link belajar dri kesalahan jangan di ulangin. Klo jatuh di lubang sayang sama goblok namanya","1740421790411972689","","thisisapraa","in","","0","1","0","https://x.com/thisisapraa/status/1740421790411972689","1603291477651918849","thisisapraa"
"1744209915986772178","Mon Jan 08 04:19:35 +0000 2024","0","@nctzenhumanity 1st konser nct ku itu the link in jakarta day 1 iya day 1 yg rusuh itu. setelah konser selesai aku dan teman2ku cuma bisa nangis semaleman. aku masih stay di venue sampe jam 11 dan akhirnya balik ke hotel masih dgn nangis2an.. sampe pas day 2 aku pulang kerumah +","1744212227706769452","","tenkickback","in","Paguyuban Februari","0","1","0","https://x.com/tenkickback/status/1744212227706769452","1370214016967188480","tenkickback"
"1634028809774301184","Fri Mar 10 03:10:01 +0000 2023","309","Sfs! Waktu The Link sama TDS2 in Jakarta kalian bawa Bunga Matahari/barang gambar bunga matahari nggak? Kalo iya pamerin dong sender mau jadiin referensi buat next konser. Thank you Sfs https://t.co/JvOPd0paWQ","1634028809774301184","https://pbs.twimg.com/media/Fq08iZ4aUAA-PV6.jpg","","in","tutor kirim menfess cek likes","4","25","39","https://x.com/haechanconfess/status/1634028809774301184","1291267816574693376","haechanconfess"
"1632175449999826945","Sun Mar 05 00:25:26 +0000 2023","6","Sebagai alumni The Link Day 1 Puji Tuhan akhirnya bisa selesai nonton konser The Dream Show Day 1 Thank you NCTzen sudah tertib. Seneng banget bisa liat 7Dream di panggung (esp. Haechan ) #THEDREAMSHOW2_in_JAKARTA #NCTDREAM #TDS2inJAKARTA_DAY1 #TDS2inJAKARTA https://t.co/1DuLhtY7aV","1632175449999826945","https://pbs.twimg.com/media/FqamzabaUAAALbk.jpg","","in","Indonesia","0","0","0","https://x.com/agathamalona/status/1632175449999826945","55509606","agathamalona"
"1640688042792075264","Tue Mar 28 12:11:26 +0000 2023","6","OPEN JASA WAR TIKET KONSER RED VELVET R TO CONCERT IN JAKARTA = 20 Mei 2023 ⏰= TBA FEE = 150k/tix Pengalaman jastip &amp; war tiket konser (svt tds2 the link trejo) Bookslot DP 50k/tix t. Jasa war tiket konser. Red Velvet. RV. R to V Concert. #jastip #jasawarticket https://t.co/GfeRQn2QIU","1640688042792075264","https://pbs.twimg.com/media/FsTk5J-aIAARtU2.jpg","","in","","1","1","1","https://x.com/hellobebears/status/1640688042792075264","1514470263261626371","hellobebears"
"1634121398603087874","Fri Mar 10 09:17:56 +0000 2023","0","WTS OFFICIAL LIGHTSTICK NCT Baru dipake sekali pas kemarin konser the link. Aku jual karna udah lost interest sama kpop hueheueh Bekasi bisa cod sekitaran jatimulya/bekasi timur 650 Nego tipis @ansluthfiyah &gt;dm 1st twitter #NCTDREAM_THEDREAMSHOW2_in_JAKARTA #nctlightstick https://t.co/u0sRaGQ7Br","1634121398603087874","https://pbs.twimg.com/media/Fq2Qu8iaAAAbSSH.jpg","","in","","0","0","0","https://x.com/bucinchanyeoll_/status/1634121398603087874","1546639445528817664","bucinchanyeoll_"
